UF,COD,MUN,VALOR_TOTAL_BF
BA,2925105,Poções,3646044
BA,2925204,Pojuca,2303083
BA,2925253,Ponto Novo,2199.75
BA,2925303,Porto Seguro,7792989
BA,2925402,Potiraguá,1282774
BA,2925501,Prado,1814575
BA,2925600,Presidente Dutra,1328446
BA,2925709,Presidente Jânio Quadros,1225494
BA,2925758,Presidente Tancredo Neves,2182318
BA,2925808,Queimadas,2471285
BA,2925907,Quijingue,2341068
BA,2925931,Quixabeira,851198
BA,2925956,Rafael Jambeiro,1898264
BA,2926004,Remanso,3483086
BA,2926103,Retirolândia,1415629
BA,2926202,Riachão das Neves,2284031
BA,2926301,Riachão do Jacuípe,2509125
BA,2926400,Riacho de Santana,2221384
BA,2926509,Ribeira do Amparo,1477416
BA,2926608,Ribeira do Pombal,3043842
BA,2926657,Ribeirão do Largo,631958
BA,2926707,Rio de Contas,826592
BA,2926806,Rio do Antônio,1086976
BA,2926905,Rio do Pires,517557
BA,2927002,Rio Real,3080903
BA,2927101,Rodelas,1166.91
BA,2927200,Ruy Barbosa,2429803
BA,2927309,Salinas da Margarida,1039083
BA,2927408,Salvador,109172204
BA,2927507,Santa Bárbara,2336113
BA,2927606,Santa Brígida,1193968
BA,2927705,Santa Cruz Cabrália,2040033
BA,2927804,Santa Cruz da Vitória,531665
BA,2927903,Santa Inês,981701
BA,2928000,Santaluz,3537941
BA,2928059,Santa Luzia,1084228
BA,2928109,Santa Maria da Vitória,3971599
BA,2928208,Santana,1607527
BA,2928307,Santanópolis,920709
BA,2928406,Santa Rita de Cássia,3376611
BA,2928505,Santa Teresinha,705175
BA,2928604,Santo Amaro,5625527
BA,2928703,Santo Antônio de Jesus,6192.74
BA,2928802,Santo Estêvão,3187571
BA,2928901,São Desidério,2826.18
BA,2928950,São Domingos,928931
BA,2929008,São Félix,971388
BA,2929057,São Félix do Coribe,1223.82
BA,2929107,São Felipe,1704382
BA,2929206,São Francisco do Conde,3187463
BA,2929255,São Gabriel,1318.03
BA,2929305,São Gonçalo dos Campos,1753633
BA,2929354,São José da Vitória,833642
BA,2929370,São José do Jacuípe,818912
BA,2929404,São Miguel das Matas,689725
BA,2929503,São Sebastião do Passé,2483115
BA,2929602,Sapeaçu,1589627
BA,2929701,Sátiro Dias,1346997
BA,2929750,Saubara,1062227
BA,2929800,Saúde,1264273
BA,2929909,Seabra,3524421
BA,2930006,Sebastião Laranjeiras,767088
BA,2930105,Senhor do Bonfim,4756985
BA,2930154,Serra do Ramalho,2215533
BA,2930204,Sento Sé,3684.4
BA,2930303,Serra Dourada,1183101
BA,2930402,Serra Preta,1356047
BA,2930501,Serrinha,7558365
BA,2930600,Serrolândia,1025.34
BA,2930709,Simões Filho,9976154
BA,2930758,Sítio do Mato,1262226
BA,2930766,Sítio do Quinto,1195662
BA,2930774,Sobradinho,1475729
BA,2930808,Souto Soares,1473125
BA,2930907,Tabocas do Brejo Velho,761748
BA,2931004,Tanhaçu,1565501
BA,2931053,Tanque Novo,1068397
BA,2931103,Tanquinho,744749
BA,2931202,Taperoá,1473.4
BA,2931301,Tapiramutá,1207973
BA,2931350,Teixeira de Freitas,5169635
BA,2931400,Teodoro Sampaio,942914
BA,2931509,Teofilândia,1413091
BA,2931608,Teolândia,1305395
BA,2931707,Terra Nova,1703525
BA,2931806,Tremedal,1439742
BA,2931905,Tucano,6109553
BA,2932002,Uauá,2903245
BA,2932101,Ubaíra,1523654
BA,2932200,Ubaitaba,1362174
BA,2932309,Ubatã,1204993
BA,2932408,Uibaí,1268017
BA,2932457,Umburanas,1315265
BA,2932507,Una,1552409
BA,2932606,Urandi,1299.46
BA,2932705,Uruçuca,2035602
BA,2932804,Utinga,1345195
BA,2932903,Valença,4866161
BA,2933000,Valente,2094.87
BA,2933059,Várzea da Roça,1472986
BA,2933109,Várzea do Poço,672232
BA,2933158,Várzea Nova,1378.38
BA,2933174,Varzedo,824071
BA,2933208,Vera Cruz,3875599
BA,2933257,Vereda,464378
BA,2933307,Vitória da Conquista,19459758
BA,2933406,Wagner,537957
BA,2933455,Wanderley,910805
BA,2933505,Wenceslau Guimarães,1947789
BA,2933604,Xique-Xique,5181252
BA,2999919,Trancoso,
BA,2999929,Barcellos,
BA,2999939,Olivença,
BA,2999949,Villa Verde,
CE,2300101,Abaiara,893603
CE,2300150,Acarapé,1031581
CE,2300200,Acaraú,5241928
CE,2300309,Acopiara,3890091
CE,2300408,Aiuaba,1337902
CE,2300507,Alcântaras,513802
CE,2300606,Altaneira,662182
CE,2300705,Alto Santo,1045425
CE,2300754,Amontada,3373047
CE,2300804,Antonina do Norte,941839
CE,2300903,Apuiarés,1449279
CE,2301000,Aquiraz,6130022
CE,2301109,Aracati,3309023
CE,2301208,Aracoiaba,2201385
CE,2301257,Ararendá,962063
CE,2301307,Araripe,1421174
CE,2301406,Aratuba,1048598
CE,2301505,Arneiroz,399552
CE,2301604,Assaré,2395.87
CE,2301703,Aurora,1661005
CE,2301802,Baixio,488414
CE,2301851,Banabuiú,1295477
CE,2301901,Barbalha,3341065
CE,2301950,Barreira,1763085
CE,2302008,Barro,1357361
CE,2302057,Barroquinha,1310549
CE,2302107,Baturité,3238114
CE,2302206,Beberibe,4899.83
CE,2302305,Bela Cruz,2272018
CE,2302404,Boa Viagem,4180325
CE,2302503,Brejo Santo,2826843
CE,2302602,Camocim,3841248
CE,2302701,Campos Sales,1644151
CE,2302800,Canindé,6033545
CE,2302909,Capistrano,1549937
CE,2303006,Caridade,1735092
CE,2303105,Cariré,1297.92
CE,2303204,Caririaçu,2283945
CE,2303303,Cariús,1320091
CE,2303402,Carnaubal,1110093
CE,2303501,Cascavel,5606549
CE,2303600,Catarina,794864
CE,2303659,Catunda,1010455
CE,2303709,Caucaia,23987749
CE,2303808,Cedro,1671275
CE,2303907,Chaval,1090024
CE,2303931,Choró,1013459
CE,2303956,Chorozinho,1464978
CE,2304004,Coreaú,1787619
CE,2304103,Crateús,3505.89
CE,2304202,Crato,7483697
CE,2304236,Croatá,1398028
CE,2304251,Cruz,1949139
CE,2304269,Deputado Irapuan Pinheiro,677858
CE,2304277,Ererê,369219
CE,2304285,Eusébio,2431976
CE,2304301,Farias Brito,1295.09
CE,2304350,Forquilha,1458819
CE,2304400,Fortaleza,133850071
CE,2304459,Fortim,956628
CE,2304509,Frecheirinha,1089153
CE,2304608,General Sampaio,728912
CE,2304657,Graça,1232715
CE,2304707,Granja,3640311
CE,2304806,Granjeiro,457555
CE,2304905,Groaíras,716196
CE,2304954,Guaiúba,1627275
CE,2305001,Guaraciaba do Norte,2900883
CE,2305100,Guaramiranga,404352
CE,2305209,Hidrolândia,1381134
CE,2305233,Horizonte,2405726
CE,2305266,Ibaretama,1074179
CE,2305308,Ibiapina,1448937
CE,2305332,Ibicuitinga,1463056
CE,2305357,Icapuí,1107448
CE,2305407,Icó,4654195
CE,2305506,Iguatu,5803062
CE,2305605,Independência,2245.98
CE,2305654,Ipaporanga,958333
CE,2305704,Ipaumirim,1007508
CE,2305803,Ipu,3806034
CE,2305902,Ipueiras,2707041
CE,2306009,Iracema,882382
CE,2306108,Irauçuba,2039544
CE,2306207,Itaiçaba,480439
CE,2306256,Itaitinga,2380264
CE,2306306,Itapagé,3194404
CE,2306405,Itapipoca,8961854
CE,2306504,Itapiúna,1659557
CE,2306553,Itarema,3400385
CE,2306603,Itatira,1770392
CE,2306702,Jaguaretama,1576104
CE,2306801,Jaguaribara,685819
CE,2306900,Jaguaribe,1671826
CE,2307007,Jaguaruana,2931159
CE,2307106,Jardim,1976707
CE,2307205,Jati,474506
CE,2307254,Jijoca de Jericoacoara,1323453
CE,2307304,Juazeiro do Norte,11163833
CE,2307403,Jucás,1775223
CE,2307502,Lavras da Mangabeira,2338532
CE,2307601,Limoeiro do Norte,3226034
CE,2307635,Madalena,1422832
CE,2307650,Maracanaú,11531999
CE,2307700,Maranguape,8546303
CE,2307809,Marco,1897903
CE,2307908,Martinópole,1040713
CE,2308005,Massapê,2274404
CE,2308104,Mauriti,3144501
CE,2308203,Meruoca,882772
CE,2308302,Milagres,2371123
CE,2308351,Milhã,1143163
CE,2308377,Miraíma,1363763
CE,2308401,Missão Velha,2828866
CE,2308500,Mombaça,2900319
CE,2308609,Monsenhor Tabosa,2087253
CE,2308708,Morada Nova,5344461
CE,2308807,Moraújo,663099
CE,2308906,Morrinhos,1395272
CE,2309003,Mucambo,928.25
CE,2309102,Mulungu,1023765
CE,2309201,Nova Olinda,1308021
CE,2309300,Nova Russas,1796977
CE,2309409,Novo Oriente,2719286
CE,2309458,Ocara,1887717
CE,2309508,Orós,2009496
CE,2309607,Pacajus,3083547
CE,2309706,Pacatuba,4120557
CE,2309805,Pacoti,1037973
CE,2309904,Pacujá,473102
CE,2310001,Palhano,717994
CE,2310100,Palmácia,1148096
CE,2310209,Paracuru,2388434
CE,2310258,Paraipaba,2461161
CE,2310298,Cococi,
CE,2310308,Parambu,1703641
CE,2310407,Paramoti,982275
CE,2310506,Pedra Branca,3446843
CE,2310605,Penaforte,930846
CE,2310704,Pentecoste,2189788
CE,2310803,Pereiro,1019457
CE,2310852,Pindoretama,1987454
CE,2310902,Piquet Carneiro,1081006
CE,2310951,Pires Ferreira,537242
CE,2311009,Poranga,882805
CE,2311108,Porteiras,1117192
CE,2311207,Potengi,677599
